geoid,t_county_name,total_votes,t_state_name,votes_gop,votes_dem,state_fips
02901,ED 1,7360,Alaska,3511,3477,02
02910,ED 10,11256,Alaska,8081,2727,02
02911,ED 11,10686,Alaska,7096,3130,02
02912,ED 12,11280,Alaska,7893,2957,02
02913,ED 13,7765,Alaska,4652,2666,02
02914,ED 14,11534,Alaska,6714,4261,02
02915,ED 15,5593,Alaska,2671,2622,02
02916,ED 16,8170,Alaska,3516,4274,02
02917,ED 17,7271,Alaska,2810,4136,02
02918,ED 18,7759,Alaska,2760,4681,02
02919,ED 19,5338,Alaska,1975,3118,02
02902,ED 2,6161,Alaska,3674,2104,02
02920,ED 20,7544,Alaska,2383,4881,02
02921,ED 21,9482,Alaska,3690,5414,02
02922,ED 22,9597,Alaska,4684,4553,02
02923,ED 23,7796,Alaska,3655,3810,02
02924,ED 24,10484,Alaska,5378,4736,02
02925,ED 25,9369,Alaska,4407,4600,02
02926,ED 26,10181,Alaska,5243,4558,02
02927,ED 27,9531,Alaska,4324,4844,02
02928,ED 28,12831,Alaska,6162,6264,02
02929,ED 29,10784,Alaska,7464,2985,02
02903,ED 3,8421,Alaska,6076,1903,02
02930,ED 30,10226,Alaska,7180,2638,02
02931,ED 31,12481,Alaska,6971,5037,02
02932,ED 32,8361,Alaska,4440,3506,02
02933,ED 33,11016,Alaska,3059,7535,02
02934,ED 34,10794,Alaska,4543,5763,02
02935,ED 35,10149,Alaska,4769,5011,02
02936,ED 36,9331,Alaska,5114,3796,02
02937,ED 37,5168,Alaska,2358,2560,02
02938,ED 38,5336,Alaska,1737,3202,02
02939,ED 39,5930,Alaska,1939,3580,02
02904,ED 4,10587,Alaska,4690,5345,02
02940,ED 40,4628,Alaska,1994,2318,02
02905,ED 5,8706,Alaska,4077,4204,02
02906,ED 6,9518,Alaska,5770,3272,02
02907,ED 7,9664,Alaska,7027,2215,02
02908,ED 8,9957,Alaska,7618,1953,02
02909,ED 9,11047,Alaska,7787,2769,02
01001,Autauga,27770,Alabama,19838,7503,01
01003,Baldwin,109679,Alabama,83544,24578,01
01005,Barbour,10518,Alabama,5622,4816,01
01007,Bibb,9595,Alabama,7525,1986,01
01009,Blount,27588,Alabama,24711,2640,01
01011,Bullock,4613,Alabama,1146,3446,01
01013,Butler,9488,Alabama,5458,3965,01
01015,Calhoun,50983,Alabama,35101,15216,01
01017,Chambers,15284,Alabama,8753,6365,01
01019,Cherokee,12301,Alabama,10583,1624,01
01021,Chilton,19310,Alabama,16085,3073,01
01023,Choctaw,7464,Alabama,4296,3127,01
01025,Clarke,13135,Alabama,7324,5755,01
01027,Clay,6930,Alabama,5601,1267,01
01029,Cleburne,7227,Alabama,6484,675,01
01031,Coffee,22275,Alabama,16899,5076,01
01033,Colbert,27886,Alabama,19203,8343,01
01035,Conecuh,6441,Alabama,3442,2966,01
01037,Coosa,5479,Alabama,3631,1796,01
01039,Covington,17430,Alabama,14586,2721,01
01041,Crenshaw,6617,Alabama,4864,1700,01
01043,Cullman,41851,Alabama,36880,4478,01
01045,Dale,19738,Alabama,14303,5170,01
01047,Dallas,17864,Alabama,5524,12230,01
01049,DeKalb,29356,Alabama,24767,4281,01
01051,Elmore,41030,Alabama,30164,10367,01
01053,Escambia,15910,Alabama,10869,4918,01
01055,Etowah,47728,Alabama,35528,11567,01
01057,Fayette,8766,Alabama,7300,1395,01
01059,Franklin,12578,Alabama,10376,2086,01
01061,Geneva,12545,Alabama,10848,1595,01
01063,Greene,4775,Alabama,875,3884,01
01065,Hale,7900,Alabama,3192,4663,01
01067,Henry,9298,Alabama,6607,2606,01
01069,Houston,46173,Alabama,32618,12917,01
01071,Jackson,23636,Alabama,19670,3717,01
01073,Jefferson,325848,Alabama,138843,181688,01
01075,Lamar,7193,Alabama,6174,978,01
01077,Lauderdale,44339,Alabama,31721,11915,01
01079,Lawrence,16031,Alabama,12322,3562,01
01081,Lee,71449,Alabama,42221,27860,01
01083,Limestone,49235,Alabama,34640,13672,01
01085,Lowndes,6835,Alabama,1836,4972,01
01087,Macon,8723,Alabama,1541,7108,01
01089,Madison,194767,Alabama,102780,87286,01
01091,Marengo,10900,Alabama,5343,5488,01
01093,Marion,13807,Alabama,12205,1463,01
01095,Marshall,39655,Alabama,33191,5943,01
01097,Mobile,183164,Alabama,101243,79474,01
01099,Monroe,10668,Alabama,6147,4455,01
01101,Montgomery,99139,Alabama,33311,64529,01
01103,Morgan,53722,Alabama,39664,13234,01
01105,Perry,5230,Alabama,1339,3860,01
01107,Pickens,9668,Alabama,5594,4022,01
01109,Pike,13841,Alabama,8042,5636,01
01111,Randolph,10837,Alabama,8559,2203,01
01113,Russell,21329,Alabama,9864,11228,01
01117,Shelby,114950,Alabama,79700,33268,01
01115,St. Clair,44441,Alabama,36166,7744,01
01119,Sumter,6291,Alabama,1598,4648,01
01121,Talladega,35663,Alabama,22235,13138,01
01123,Tallapoosa,20991,Alabama,14963,5859,01
01125,Tuscaloosa,90172,Alabama,51117,37765,01
01127,Walker,31170,Alabama,26002,4834,01
01129,Washington,8876,Alabama,6564,2258,01
01131,Wilcox,5903,Alabama,1833,4048,01
01133,Winston,11284,Alabama,10195,974,01
05001,Arkansas,6292,Arkansas,4304,1818,05
05003,Ashley,7926,Arkansas,5548,2125,05
05005,Baxter,21007,Arkansas,15836,4635,05
05007,Benton,119912,Arkansas,73965,42249,05
05009,Boone,17114,Arkansas,13652,3064,05
05011,Bradley,3654,Arkansas,2335,1214,05
05013,Calhoun,2182,Arkansas,1636,479,05
05015,Carroll,11797,Arkansas,7424,4023,05
05017,Chicot,4103,Arkansas,1752,2260,05
05019,Clark,8395,Arkansas,4616,3438,05
05021,Clay,5183,Arkansas,4086,962,05
05023,Cleburne,12680,Arkansas,10328,1988,05
05025,Cleveland,3600,Arkansas,2867,651,05
05027,Columbia,8616,Arkansas,5500,2814,05
05029,Conway,8685,Arkansas,5694,2615,05
05031,Craighead,38511,Arkansas,25558,11921,05
05033,Crawford,24091,Arkansas,18607,4959,05
05035,Crittenden,16367,Arkansas,7333,8514,05
05037,Cross,6942,Arkansas,4946,1772,05
05039,Dallas,2649,Arkansas,1573,963,05
05041,Desha,4164,Arkansas,1921,2016,05
05043,Drew,6908,Arkansas,4349,2426,05
05045,Faulkner,54428,Arkansas,34421,18347,05
05047,Franklin,7129,Arkansas,5677,1300,05
05049,Fulton,5119,Arkansas,3961,1035,05
05051,Garland,44199,Arkansas,29069,14045,05
05053,Grant,8200,Arkansas,6794,1268,05
05055,Greene,16100,Arkansas,12670,3058,05
05057,Hempstead,6848,Arkansas,4470,2138,05
05059,Hot Spring,12557,Arkansas,9202,3082,05
05061,Howard,4834,Arkansas,3367,1340,05
05063,Independence,14512,Arkansas,11250,2806,05
05065,Izard,5810,Arkansas,4631,1021,05
05067,Jackson,5091,Arkansas,3593,1365,05
05069,Jefferson,25158,Arkansas,9521,14981,05
05071,Johnson,9498,Arkansas,6938,2283,05
05073,Lafayette,2679,Arkansas,1757,839,05
05075,Lawrence,5857,Arkansas,4569,1080,05
05077,Lee,2848,Arkansas,1286,1423,05
05079,Lincoln,3875,Arkansas,2729,1032,05
05081,Little River,5177,Arkansas,3715,1226,05
05083,Logan,8225,Arkansas,6441,1544,05
05085,Lonoke,30662,Arkansas,22884,6686,05
05087,Madison,7351,Arkansas,5658,1563,05
05089,Marion,7503,Arkansas,5783,1531,05
05091,Miller,16529,Arkansas,11920,4245,05
05093,Mississippi,12342,Arkansas,7296,4558,05
05095,Monroe,2816,Arkansas,1545,1147,05
05097,Montgomery,3873,Arkansas,3046,731,05
05099,Nevada,3358,Arkansas,2133,1076,05
05101,Newton,3998,Arkansas,3192,709,05
05103,Ouachita,9629,Arkansas,5294,3995,05
05105,Perry,4627,Arkansas,3479,1012,05
05107,Phillips,6242,Arkansas,2417,3623,05
05109,Pike,4246,Arkansas,3519,644,05
05111,Poinsett,7521,Arkansas,5918,1424,05
05113,Polk,8490,Arkansas,7035,1246,05
05115,Pope,24432,Arkansas,18081,5772,05
05117,Prairie,3495,Arkansas,2786,654,05
05119,Pulaski,169956,Arkansas,63687,101947,05
05121,Randolph,6812,Arkansas,5355,1215,05
05123,Saint Francis,7108,Arkansas,3242,3604,05
05125,Saline,56959,Arkansas,39556,16060,05
05127,Scott,3551,Arkansas,2962,483,05
05129,Searcy,4019,Arkansas,3365,588,05
05131,Sebastian,47140,Arkansas,31198,14487,05
05133,Sevier,5202,Arkansas,3884,1116,05
05135,Sharp,7566,Arkansas,5938,1398,05
05137,Stone,5938,Arkansas,4616,1180,05
05139,Union,16607,Arkansas,10478,5584,05
05141,Van Buren,7807,Arkansas,6034,1593,05
05143,Washington,94266,Arkansas,47504,43824,05
05145,White,30885,Arkansas,24182,5978,05
05147,Woodruff,2476,Arkansas,1543,856,05
05149,Yell,6741,Arkansas,5226,1284,05
04001,Apache,35183,Arizona,11442,23293,04
04003,Cochise,60473,Arizona,35557,23732,04
04005,Coconino,73346,Arizona,27052,44698,04
04007,Gila,27678,Arizona,18377,8943,04
04009,Graham,14996,Arizona,10749,4034,04
04011,Greenlee,3688,Arizona,2433,1182,04
04012,La Paz,7460,Arizona,5129,2236,04
04013,Maricopa,2069475,Arizona,995665,1040774,04
04015,Mohave,104705,Arizona,78535,24831,04
04017,Navajo,51783,Arizona,27657,23383,04
04019,Pima,520735,Arizona,207758,304981,04
04021,Pinal,185037,Arizona,107077,75106,04
04023,Santa Cruz,19561,Arizona,6194,13138,04
04025,Yavapai,143280,Arizona,91527,49602,04
04027,Yuma,69926,Arizona,36534,32210,04
06001,Alameda,770070,California,136309,617659,06
06003,Alpine,741,California,244,476,06
06005,Amador,22304,California,13585,8153,06
06007,Butte,102066,California,48730,50426,06
06009,Calaveras,27164,California,16518,10046,06
06011,Colusa,7961,California,4559,3239,06
06013,Contra Costa,581316,California,152877,416386,06
06015,Del Norte,11453,California,6461,4677,06
06017,El Dorado,116159,California,61838,51621,06
06019,Fresno,364917,California,164464,193025,06
06021,Glenn,11297,California,7063,3995,06
06023,Humboldt,68843,California,21770,44768,06
06025,Imperial,56743,California,20847,34678,06
06027,Inyo,9484,California,4620,4634,06
06029,Kern,305292,California,164484,133366,06
06031,Kings,43861,California,24072,18699,06
06033,Lake,28812,California,13123,14941,06
06035,Lassen,11987,California,8970,2799,06
06037,Los Angeles,4264365,California,1145530,3028885,06
06039,Madera,53732,California,29378,23168,06
06041,Marin,155830,California,24612,128288,06
06043,Mariposa,10280,California,5950,4088,06
06045,Mendocino,43340,California,13267,28782,06
06047,Merced,90554,California,39397,48991,06
06049,Modoc,4343,California,3109,1150,06
06051,Mono,6738,California,2513,4013,06
06053,Monterey,163923,California,46299,113953,06
06055,Napa,72150,California,20676,49817,06
06057,Nevada,64750,California,26779,36359,06
06059,Orange,1522113,California,676498,814009,06
06061,Placer,235084,California,122488,106869,06
06063,Plumas,11260,California,6445,4561,06
06065,Riverside,997156,California,449144,528340,06
06067,Sacramento,718440,California,259405,440808,06
06069,San Benito,28830,California,10590,17628,06
06071,San Bernardino,841130,California,366257,455859,06
06073,San Diego,1602143,California,600094,964650,06
06075,San Francisco,443553,California,56417,378156,06
06077,San Joaquin,288492,California,121098,161137,06
06079,San Luis Obispo,159714,California,67436,88310,06
